ETH address,Name,Address,Phone,ConsentInfo
0x1F3a9914c25Fc8c76441336F51AC4b51954c8569,Cleveland Clinic,"200 E 5th St, Ste 4, Cleveland, OH 44101",(216) 547-2679,Consent grants Cleveland Clinic access to ALL of my electronic health information through CliniSync HIE to provide me with health care services.
0x4aD5Fc3FF9154A8a94f20aa81f6795C2fA00E7a3,Robert Sorscher MD,"42 Chesterfield Ave
Indianapolis, IN 46107",(463) 326-1385,Consent grants Robert Sorscher MD access to ALL of my electronic health information through Indiana HIE to provide me with health care services.
0x102195B43E9E431C689A1fa6897456333C0451AB,Lorraine Zitelli MD,"9246 Brown Ln, Suite 82
Lexington, KY 41025",(859) 642-1655,Consent grants Lorraine Zitelli MD access to ALL of my electronic health information through Kentucky HIE to provide me with health care services.
0xdAdCe6230Da358a24EfAd4d72A11459531BaF3F0,Dayton Children's Pediatrics,"691 Eden Park Dr
Dayton, OH 45377",(937) 821-9436,Consent grants Dayton Children's Pediatrics access to ALL of my electronic health information through CliniSync HIE to provide me with health care services.
0x2A04663692eAb7Dd533A5eE347A6d6125F4Eb7EB,Norton Healthcare,"1 Jefferson Blvd
Louisville, KY 42862",(502) 712-3878,Consent grants Norton Healthcare access to ALL of my electronic health information through Kentucky HIE to provide me with health care services.
0x98f1bdF6e2106762D7EC232d24B0f98874083c29,Amy Hunstad MD,"935 Misty Point Rd
Fort Wayne, IN 46803",(260) 225-7736,Consent grants Amy Hunstad MD access to ALL of my electronic health information through Indiana HIE to provide me with health care services.
0xb4B3F7e0794718934d76a4123EEb663a174FB1F5,Bala Kadakia MD,"71 W 3rd Ave
Toledo, OH 43537",(419) 625-2557,Consent grants Bala Kadakia MD access to ALL of my electronic health information through CliniSync HIE to provide me with health care services.
0xB893A9e00821Ca1796860879a6dAED116B762E1b,Alena Gagua MD,"Pearson Point Rd, Ste 27
Cincinnati, OH 45201",(513) 827-9924,Consent grants Alena Gagua MD access to ALL of my electronic health information through CliniSync HIE to provide me with health care services.
0xbca646263D364FB7e3C8b7d83352fFcF2aA3843c,Columbus Family Medicine,"4260 Glendale Ave, Suite 2
Columbus, OH 45125",(740) 618-3477,Consent grants Columbus Family Medicine access to ALL of my electronic health information through CliniSync HIE to provide me with health care services.
0x732c7330f283A281860ba4029a5432CB4d36d139,Doug Merling MD,"34 Good Sam Ln, 2nd Floor
West Lafayette, IN 47907",(765) 798-4861,Consent grants Doug Merling MD access to ALL of my electronic health information through Indiana HIE to provide me with health care services.
0x552b9C1fA610243f4e8C3e656b7542C428837580,Sarah Grimm MD,"49163 Benson Dr
Richmond, KY 40475",(606) 865-2369,Consent grants Sarah Grimm MD access to ALL of my electronic health information through Kentucky HIE to provide me with health care services.
0x28Bf53a41a222a1E977E9F1de713063Dea0CDAed,Bloomington Meadows Hospital,"1005 West 95th Ave
Bloomington, IN 47865",(275) 395-4166,Consent grants Bloomington Meadows Hospital access to ALL of my electronic health information through Indiana HIE to provide me with health care services.
